book,book_abbr,book_order,chapter,chapter_abbr,chapter_order,image_urls,images
The Eye of the World,TEOTW,2,Chapter 47: More Tales of the Wheel,7,76,https://library.tarvalon.net/images/thumb/2/22/Two_Ravens_Chapter_Icon.png/360px-Two_Ravens_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/22/Two_Ravens_Chapter_Icon.png/360px-Two_Ravens_Chapter_Icon.png', 'path': 'full/64948d1f0bd23efcc568cb556226538b7ca27931.jpg', 'checksum': '096d664239cdd8d581f994fd53295e6f'}]"
The Eye of the World,TEOTW,2,Chapter 46: Fal Dara,6,75,https://library.tarvalon.net/images/thumb/b/b5/Leafless_Tree_Chapter_Icon.png/150px-Leafless_Tree_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/b/b5/Leafless_Tree_Chapter_Icon.png/150px-Leafless_Tree_Chapter_Icon.png', 'path': 'full/c987ad8b8941b782c447ed5dacae9a3b1c90bc85.jpg', 'checksum': '0c020b74f093414e33c07309f1e03b0d'}]"
The Eye of the World,TEOTW,2,Chapter 45: What Follows in Shadow,5,74,https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png', 'path': 'full/e0499e6fb77d41e53a75bac8662ee87bb017e51c.jpg', 'checksum': '45b6872cbc561616e4e0f6543a4544ba'}]"
The Eye of the World,TEOTW,2,Chapter 44: The Dark Along the Ways,4,73,https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png', 'path': 'full/d6823aa402b27f059d5b8c6dd52bb43f59bc0360.jpg', 'checksum': '82c8f79d3c39748a5248dd57f5aae1bb'}]"
The Eye of the World,TEOTW,2,Chapter 43: Decisions and Apparitions,3,72,https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png', 'path': 'full/e0499e6fb77d41e53a75bac8662ee87bb017e51c.jpg', 'checksum': '45b6872cbc561616e4e0f6543a4544ba'}]"
The Eye of the World,TEOTW,2,Chapter 42: Rememberance of Dreams,2,71,https://library.tarvalon.net/images/thumb/2/22/Two_Ravens_Chapter_Icon.png/360px-Two_Ravens_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/2/22/Two_Ravens_Chapter_Icon.png/360px-Two_Ravens_Chapter_Icon.png', 'path': 'full/64948d1f0bd23efcc568cb556226538b7ca27931.jpg', 'checksum': '096d664239cdd8d581f994fd53295e6f'}]"
The Eye of the World,TEOTW,2,Chapter 41: Old Friends and New Threats,1,70,https://library.tarvalon.net/images/thumb/6/66/Staff_Chapter_Icon.png/150px-Staff_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/6/66/Staff_Chapter_Icon.png/150px-Staff_Chapter_Icon.png', 'path': 'full/144d8d2feba1ee02a85f242b9aa3befde74541f0.jpg', 'checksum': '8fae06b3a785c8acb55e5b3b5a0c3bd9'}]"
The Eye of the World,TEOTW,2,Chapter 40: The Web Tightens,0,69,https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png', 'path': 'full/c8b3986cd2adc5925fa128283a140921d2dd1a63.jpg', 'checksum': 'b5ba643bdd95c00cb03e105ff5d758af'}]"
The Eye of the World,TEOTW,2,Chapter 39: Weaving of the Web,9,68,https://library.tarvalon.net/images/thumb/7/76/Lion_Chapter_Icon.png/150px-Lion_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/7/76/Lion_Chapter_Icon.png/150px-Lion_Chapter_Icon.png', 'path': 'full/808bf5d12d03d3f70f526c171e2d11d6e60da030.jpg', 'checksum': '5e946bb89b5bcfa03bfc1c52016de9a6'}]"
The Eye of the World,TEOTW,2,Chapter 37: The Long Chase,7,66,https://library.tarvalon.net/images/thumb/9/9d/Sunburst_Chapter_Icon.png/150px-Sunburst_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/9/9d/Sunburst_Chapter_Icon.png/150px-Sunburst_Chapter_Icon.png', 'path': 'full/f7da70be5354334fc38dcea713ba45aa46e89f86.jpg', 'checksum': '106adb1cc6d2473833ffccfa9366d835'}]"
The Eye of the World,TEOTW,2,Chapter 38: Rescue,8,67,https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png', 'path': 'full/c8b3986cd2adc5925fa128283a140921d2dd1a63.jpg', 'checksum': 'b5ba643bdd95c00cb03e105ff5d758af'}]"
The Eye of the World,TEOTW,2,Chapter 36: Web of the Pattern,6,65,https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png', 'path': 'full/d6823aa402b27f059d5b8c6dd52bb43f59bc0360.jpg', 'checksum': '82c8f79d3c39748a5248dd57f5aae1bb'}]"
The Eye of the World,TEOTW,2,Chapter 34: The Last Villiage,4,63,https://library.tarvalon.net/images/thumb/1/1e/Trolloc_Chapter_Icon.png/375px-Trolloc_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/1/1e/Trolloc_Chapter_Icon.png/375px-Trolloc_Chapter_Icon.png', 'path': 'full/7748b767b4ead7bf1e93f87f4e07f37612ce2607.jpg', 'checksum': 'abcfbd287e3cb5b921e117e3724e5b73'}]"
The Eye of the World,TEOTW,2,Chapter 35: Caemlyn,5,64,https://library.tarvalon.net/images/thumb/7/76/Lion_Chapter_Icon.png/150px-Lion_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/7/76/Lion_Chapter_Icon.png/150px-Lion_Chapter_Icon.png', 'path': 'full/808bf5d12d03d3f70f526c171e2d11d6e60da030.jpg', 'checksum': '5e946bb89b5bcfa03bfc1c52016de9a6'}]"
